agentEmail,agentPassword,agentAccount,customerAccount
raiyanislamhomyra1+jagent1@gmail.com,1234,01302610044,01302610012
raiyanislamhomyra1+jagent1@gmail.com,1234,01302610044,01302610034
rukaiyamihi828@gmail.com,1234,01302610010,01302610032
rukaiyamihi828@gmail.com,1234,01302610010,01302610031
raiyanislamhomyra1+u2@gmail.com,1234,01302610020,01302851212
raiyanislamhomyra1+u2@gmail.com,1234,01302610020,01302610013
raiyanislamhomyra1+jusercsv5@gmail.com,1234,01302610033,01302610014
raiyanislamhomyra1+jusercsv5@gmail.com,1234,01302610033,01302610015
raiyanislamhomyra1+jusercsv3@gmail.com,1234,01302610023,01302610016
raiyanislamhomyra1+jusercsv3@gmail.com,1234,01302610023,01302610017
