customer1Email,customer1Account,customer1Password,customer2Account
raiyanislamhomyra1+juser10@gmail.com,01302610030,1234,01302610040
raiyanislamhomyra1+juser10@gmail.com,01302610030,1234,01302610041
raiyanislamhomyra1+juser11@gmail.com,01302610031,1234,01302610042
raiyanislamhomyra1+juser11@gmail.com,01302610031,1234,01302610043
raiyanislamhomyra1+juser12@gmail.com,01302610032,1234,01302610044
raiyanislamhomyra1+juser12@gmail.com,01302610032,1234,01302610045
raiyanislamhomyra1+juser13@gmail.com,01302610033,1234,01302610046
raiyanislamhomyra1+juser13@gmail.com,01302610033,1234,01302610047
raiyanislamhomyra1+juser14@gmail.com,01302610034,1234,01302610048
raiyanislamhomyra1+juser14@gmail.com,01302610034,1234,01302610049
